"token","layer","documented","type","nameZh","nameEn","descriptionZh","descriptionEn","defaultValue","darkValue","compactValue","darkCompactValue","sourceUrl"
"blue","seed","true","color","预设blue颜色","Preset blue color","预设blue颜色","Preset blue color","#1677FF","#1677FF","#1677FF","#1677FF","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"blue-1","runtime-computed","false","string","","","","","#e6f4ff","#111a2c","#e6f4ff","#111a2c","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-10","runtime-computed","false","string","","","","","#001d66","#b7dcfa","#001d66","#b7dcfa","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-2","runtime-computed","false","string","","","","","#bae0ff","#112545","#bae0ff","#112545","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-3","runtime-computed","false","string","","","","","#91caff","#15325b","#91caff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-4","runtime-computed","false","string","","","","","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-5","runtime-computed","false","string","","","","","#4096ff","#1554ad","#4096ff","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-6","runtime-computed","false","string","","","","","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-7","runtime-computed","false","string","","","","","#0958d9","#3c89e8","#0958d9","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-8","runtime-computed","false","string","","","","","#003eb3","#65a9f3","#003eb3","#65a9f3","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue-9","runtime-computed","false","string","","","","","#002c8c","#8dc5f8","#002c8c","#8dc5f8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue1","runtime-computed","false","string","","","","","#e6f4ff","#111a2c","#e6f4ff","#111a2c","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue10","runtime-computed","false","string","","","","","#001d66","#b7dcfa","#001d66","#b7dcfa","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue2","runtime-computed","false","string","","","","","#bae0ff","#112545","#bae0ff","#112545","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue3","runtime-computed","false","string","","","","","#91caff","#15325b","#91caff","#15325b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue4","runtime-computed","false","string","","","","","#69b1ff","#15417e","#69b1ff","#15417e","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue5","runtime-computed","false","string","","","","","#4096ff","#1554ad","#4096ff","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue6","runtime-computed","false","string","","","","","#1677ff","#1668dc","#1677ff","#1668dc","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue7","runtime-computed","false","string","","","","","#0958d9","#3c89e8","#0958d9","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
